date,hushen300,ydlMIB,xxlNZ50,nfFTSE,bxBOVESPA
2020-09-23,0.1550 ,0.078763335,0.355427719,0.793758829,-0.701408031
2020-09-25,-0.7752 ,-0.534457331,0.341720599,-0.532187449,0.569903329
2020-09-28,0.1128 ,1.05942544,0.019175718,0.907622881,-1.057323402
2020-09-29,0.0936 ,-0.224798887,-0.22208769,-0.168524109,-0.501105917
2020-09-30,-0.0416 ,-0.104728615,0.019191561,-0.19318363,0.472198804
2020-10-09,0.8785 ,1.305119349,1.928014361,0.72857411,1.302361383
2020-10-13,1.4422 ,-0.081392658,0.608616655,-0.101216889,0.45183969
2020-10-14,-0.2890 ,0.108755472,0.31189121,0.267147048,0.365114013
2020-10-15,-0.0756 ,-1.218048547,-0.197382158,-0.433572448,-0.122752308
2020-10-16,-0.0639 ,0.732380915,-0.186719855,0.160690124,-0.327847239
2020-10-19,-0.3293 ,-0.034663889,-0.167674516,0.089666033,0.153695787
2020-10-20,0.3455 ,0.241243416,0.268471202,0.087084833,0.820738009
2020-10-21,-0.0058 ,-0.892265521,-0.102717896,0.05790215,0.005446707
2020-10-22,-0.1348 ,-0.020484032,-0.088537716,-0.433005105,0.585712849
2020-10-23,-0.5441 ,0.471993479,0.220136128,0.428367297,-0.281289129
2020-10-27,-0.1772 ,-1.443478687,-0.767449664,-1.000375327,-0.715335653
2020-10-28,0.3497 ,-1.799468129,0.044675786,-1.446282804,-1.887735839
2020-10-29,0.3256 ,-0.061944828,-0.222665359,-0.342727509,0.549077799
2020-10-30,-0.7118 ,0.171775978,-0.419629428,-0.178000256,-1.198903533
2020-11-03,0.7540 ,2.45412468,0.164429186,1.245010889,0.927155482
2020-11-04,0.3269 ,0.842780087,0.248543905,0.38078844,0.845599919
2020-11-05,0.6399 ,0.829069335,0.177804083,1.251761884,1.261565705
2020-11-06,0.0054 ,-0.109529416,0.307488914,0.904168527,0.07481418
2020-11-09,0.8418 ,2.295970197,0.785543464,0.70320901,1.100472631
2020-11-10,-0.2402 ,0.211710022,0.17316881,0.275452887,0.646220886
2020-11-11,-0.4315 ,0.29359509,0.182940534,-0.048839544,-0.106829369
2020-11-12,0.0315 ,-0.364154796,0.017106947,-0.436508716,-0.964430702
2020-11-13,-0.4591 ,0.178729929,0.101166796,0.115146457,0.928850907
2020-11-16,0.4211 ,0.850561808,0.152757943,0.064053454,0.702166075
2020-11-17,-0.0831 ,0.239942762,0.068472606,-0.162587083,0.332801748
2020-11-18,-0.0277 ,0.378340287,-0.544591508,0.205542535,-0.459823606
2020-11-19,0.3213 ,-0.173923707,-0.168553434,-0.4341414,0.224837082
2020-11-20,0.1346 ,0.342912361,-0.400682548,-0.105891367,-0.256201199
2020-11-23,0.5391 ,-0.01034493,0.208689769,0.406213286,0.543915562
2020-11-24,-0.2676 ,0.878130464,0.179021284,0.464582831,0.962911722
2020-11-25,-0.5588 ,0.309771697,0.394669361,-0.014836927,0.136746729
2020-11-26,0.0786 ,-0.199343428,-0.226720452,0.136296915,0.037272608
2020-11-27,0.5368 ,0.294418239,0.13010684,-0.075935579,0.137045184
